,Id,Name,Location,Rating,Price,Zipcode,Transactions,Review Count,Categories
9,B0e6kXT0doU-n6EvMVGzQQ,Thai Me,918 Broadway,3.5,$$,11206,"['pickup', 'delivery']",127,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
10,5-cv4xv4IBao7N1LSH6tHA,Der Krung Thai Cuisine,860 9th Ave,4.0,$$,10019,"['pickup', 'delivery']",233,"[{'alias': 'thai', 'title': 'Thai'}]"
11,z1OgXX3L9Ipl2mu-Hf4ADw,VIV,717 9th Ave,4.0,$$,10019,"['pickup', 'delivery']",897,"[{'alias': 'thai', 'title': 'Thai'}, {'alias': 'bars', 'title': 'Bars'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]"
12,Tmc90kL5jelJ2c9CiGzSFA,Hi-So Thai,1903 Willow Ave,4.0,$$,07086,"['pickup', 'delivery']",253,"[{'alias': 'thai', 'title': 'Thai'}]"
13,2-z6dRAkKupCyz1LF251pQ,Jintana Thai Farmhouse,344 7th Ave,4.5,$$,11215,"['pickup', 'delivery', 'restaurant_reservation']",142,"[{'alias': 'thai', 'title': 'Thai'}]"
14,DEoUnmEnguWiwlDh3CFm1A,Thai Peppercorn,1406 Madison Ave,3.0,$,10029,"['pickup', 'delivery']",66,"[{'alias': 'thai', 'title': 'Thai'}]"
15,1Fe4lCiMPNVhoEyjg92frA,Kati Thai Cuisine,347 E 14th St,4.0,$$,10003,"['pickup', 'delivery']",249,"[{'alias': 'thai', 'title': 'Thai'}]"
16,83BXSwE0166sObnXLUE4bQ,Land,450 Amsterdam Ave,4.0,$$,10024,"['pickup', 'delivery']",1060,"[{'alias': 'thai', 'title': 'Thai'}]"
17,l3aVYfTWVINXaNGxlMz0bQ,Soho Thai,141 Grand St,3.5,$$,10013,"['pickup', 'delivery']",165,"[{'alias': 'thai', 'title': 'Thai'}]"
18,ZGKdgFAGOL6NOPXPrBkhzA,Myrtle Thai,438 Myrtle Ave,3.5,$$,11205,"['pickup', 'delivery']",175,"[{'alias': 'thai', 'title': 'Thai'}]"
